Iterations, Max, Average, Min
1, 273, -147.0667, -484
2, 413.28, -73.894, -564
3, 131.04, -27.636, -379.2
4, 486, 3.3, -211
5, 257.6, -18.97334, -585.6
6, 290.4, -13.018, -382
7, 481.2, -26.99733, -598
8, 156, -57.13334, -812
9, 609.6, -3.99, -536
10, 341.6, -4.493334, -559
11, 385.2, -18.51333, -560.4
12, 136.8, -40.77333, -567.36
13, 591.92, 9.467328, -565.2
14, 633.6, 3.526665, -333
15, 400.4, 13.842, -532
16, 665.28, 24.756, -456
17, 261, 0.6033326, -626.4
18, 352.8, 1.220666, -476
19, 715.68, 9.824666, -412
20, 660, 50.87201, -194.4
21, 516, 28.97333, -356
22, 601.44, 25.218, -440.64
23, 571.2, 16.696, -415
24, 313.92, 6.479331, -385.92
25, 537.6, 69.974, -408
26, 1595.44, 99.99268, -271.2
27, 1013.04, 63.74, -152
28, 493.92, 70.86666, -340.8
29, 756.5601, 62.366, -298
30, 768.96, 41.37133, -204
31, 472.32, 29.30533, -261.12
32, 783.36, 72.66734, -436.8
33, 878.08, 59.80733, -441
34, 714.24, 41.26934, -645.6
35, 798, 36.79734, -691.2
36, 552.72, 41.07066, -423
37, 349, 11.5, -465.36
38, 534.8, 25.62733, -483.84
39, 501.12, 37.07867, -424
40, 492.48, 64.94668, -332.64
41, 172.8, 17.726, -555.84
42, 812.8, 48.05, -418
43, 834.5599, 63.35201, -263
44, 734.72, 37.06, -417.6
45, 372.96, 27.236, -427.2
46, 427.28, 74.57999, -220.8
47, 503.04, 74.16066, -337.2
48, 596.16, 55.748, -446.88
49, 1021.44, 59.32267, -524.16
50, 414.72, 55.87199, -277.2
51, 443.52, 40.37333, -558.72
52, 745.92, 64.58933, -396
53, 160.8, 27.49933, -508.8
54, 319.68, 62.792, -391.68
55, 924, 65.65067, -587.52
56, 476.8, 77.882, -249.6
57, 480.2, 45.20532, -501.12
58, 349.44, 54.65533, -257.28
59, 652.8, 90.98867, -207.36
60, 779.52, 85.27866, -257.28
61, 410.4, 35.63134, -475.44
62, 752.64, 54.76, -421.92
63, 621.6, 65.56066, -559.2
64, 308, 63.912, -235.2
